"matchday","team_1","team_2","round"
"m1","ger","sco","group"
"m2","hun","swi","group"
"m3","esp","cro","group"
"m4","ita","alb","group"
"m5","pol","ned","group"
"m6","svn","den","group"
"m7","ser","eng","group"
"m8","rom","ukr","group"
"m9","bel","svk","group"
"m10","aut","fra","group"
"m11","tur","geo","group"
"m12","por","czk","group"
"m13","cro","alb","group"
"m14","ger","hun","group"
"m15","sco","swi","group"
"m16","svn","ser","group"
"m17","den","eng","group"
"m18","esp","ita","group"
"m19","svk","ukr","group"
"m20","pol","aut","group"
"m21","ned","fra","group"
"m22","geo","czk","group"
"m23","tur","por","group"
"m24","bel","rom","group"
"m25","swi","ger","group"
"m26","sco","hun","group"
"m27","alb","esp","group"
"m28","cro","ita","group"
"m29","ned","aut","group"
"m30","fra","pol","group"
"m31","eng","svn","group"
"m32","den","ser","group"
"m33","svk","rom","group"
"m34","ukr","bel","group"
"m35","geo","por","group"
"m36","czk","tur","group"
"m37","swi","ita","eights"
"m38","ger","den","eights"
"m39","eng","svk","eights"
"m40","esp","geo","eights"
"m41","fra","bel","eights"
"m42","por","svn","eights"
"m43","rom","ned","eights"
"m44","aut","tur","eights"
"m45","esp","ger","quarters"
"m46","por","fra","quarters"
"m47","eng","swi","quarters"
"m48","ned","tur","quarters"
"m49","esp","fra","semis"
"m50","ned","eng","semis"
"m51","esp","eng","final"
